,CMPSI_NM,CMPSI_SCTIN_NM,소재지전체주소,상세영업상태명,lat,lon,kakao_score,지역
2961,청포대 휴 야영장,일반야영장,"충청남도 태안군 남면 원청리 512-80번지 ,512-145,512-146",폐업,36.64,126.3,1.0,충청남도
2962,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-32번지,폐업,36.64,126.3,1.0,충청남도
2963,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512-142,영업중,36.64,126.3,1.0,충청남도
2964,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512-2,영업중,36.64,126.3,1.0,충청남도
2965,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512-21,영업중,36.64,126.3,1.0,충청남도
2966,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-71,영업중,36.64,126.3,1.0,충청남도
2967,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512-81,영업중,36.64,126.3,1.0,충청남도
2968,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-3번지,직권말소,36.64,126.3,1.0,충청남도
2969,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512번지,직권말소,36.64,126.3,1.0,충청남도
2970,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512-3번지,직권말소,36.64,126.3,1.0,충청남도
2971,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512-3번지,직권말소,36.64,126.3,1.0,충청남도
2972,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512-3번지,직권말소,36.64,126.3,1.0,충청남도
2973,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512-3번지,직권말소,36.64,126.3,1.0,충청남도
2974,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512번지 512-137,직권말소,36.64,126.3,1.0,충청남도
2975,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512-88번지,직권말소,36.64,126.3,1.0,충청남도
2976,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512-88번지,직권말소,36.64,126.3,1.0,충청남도
2977,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512-88번지,직권말소,36.64,126.3,1.0,충청남도
2978,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 원청리 512-88번지,직권말소,36.64,126.3,1.0,충청남도
2979,통영 편백숲길관광농원 캠핑장,"일반야영장,글램핑",경상남도 통영시 인평동 576,영업중,34.84,128.39,0,경상남도
2980,괴강관광농원 카라반&캠핑장,"일반야영장,자동차야영장,카라반",충청북도 괴산군 칠성면 두천리 310-2번지,폐업,36.8,127.82,0.0,충청북도
2981,괴강관광농원 카라반&캠핑장,"일반야영장,자동차야영장,카라반",충청북도 괴산군 칠성면 두천리 378-1번지 괴강관광농원,영업중,36.8,127.82,0.0,충청북도
2982,블루마린 캠핑장,일반야영장,경기도 여주시 능서면 번도리 239-1번지,영업중,37.3,127.58,3.2,경기도
2983,평화누리캠핑장,"일반야영장,자동차야영장",경기도 파주시 문산읍 마정리 1153-3,폐업,37.89,126.74,4.4,경기도
2984,성동 서울숲 여름캠핑장(임시캠핑장),일반야영장,서울특별시 성동구 성수동1가 643번지,영업중,37.54,127.04,0,서울특별시
2985,장안캠프,일반야영장,부산광역시 기장군 장안읍 기룡리 448,영업중,35.34,129.25,4.0,부산광역시
2986,너나들이캠핑장,일반야영장,인천광역시 남동구 장수동 456번지,폐업,37.46,126.75,1.9,인천광역시
2987,너나들이캠핑장,일반야영장,인천광역시 남동구 장수동 456,영업중,37.46,126.75,1.9,인천광역시
2988,뮤즈캠핑장,일반야영장,인천광역시 강화군 강화읍 국화리 740번지 15,영업중,37.74,126.45,4.7,인천광역시
2989,쥬라기 카라반,일반야영장,인천광역시 강화군 길상면 선두리 1024-13번지,영업중,37.6,126.5,3.2,인천광역시
2990,울주해양레포츠센터 야영장,일반야영장,울산광역시 울주군 서생면 진하리 57-11,영업중,35.38,129.34,4.0,울산광역시
2991,작은쉼터야영장,일반야영장,경기도 시흥시 죽율동 620,영업중,37.35,126.76,2.8,경기도
2992,물왕숲캠핑파크,일반야영장,경기도 시흥시 물왕동 341-12,영업중,37.38,126.83,1.8,경기도
2993,초리 포레스트,일반야영장,경기도 파주시 법원읍 법원리 37-2,영업중,37.86,126.9,0.0,경기도
2994,자연의꿈,일반야영장,경기도 파주시 법원읍 법원리 133-4,영업중,37.86,126.89,4.7,경기도
2995,돌산캠핑장,일반야영장,경기도 파주시 광탄면 방축리 429-10,영업중,37.81,126.84,4.0,경기도
2996,안성운모석캠핑장,일반야영장,경기도 안성시 서운면 산평리 312-1번지,영업중,36.92,127.27,1.0,경기도
2997,엄소리오토캠핑장,일반야영장,경기도 가평군 설악면 엄소리 423,영업중,37.66,127.48,3.3,경기도
